umap_1,umap_2,kmeans_label
-6.951182,12.896207,2
17.310432,10.803011,4
14.462221,4.906905,5
6.4163327,24.465769,4
6.3907514,6.0506625,4
10.882301,-3.723356,1
19.553513,-0.42258185,4
6.9970655,4.8487706,4
6.2490635,3.8578925,0
0.7562895,28.732409,4
3.2265081,-2.0418003,5
3.1282508,-1.1259921,5
6.291186,-1.252125,5
-7.0466223,-7.461374,0
-6.153538,-11.8686695,0
5.162303,-2.161255,5
4.160445,-1.9027965,5
-5.1112514,-1.9886892,6
2.984349,-1.8956728,5
-8.835667,12.48196,4
-5.5472193,5.658834,5
-4.925609,17.680693,6
-1.2481457,20.652563,5
19.72846,-0.5939047,4
-10.080444,2.5997832,4
-12.704892,1.6976715,2
2.5300972,10.377699,2
-2.884176,-2.050322,6
-4.1170115,24.554232,2
-9.444755,8.420199,5
2.6740782,-10.566592,0
1.0347775,9.036224,2
4.5588818,-0.3561964,5
4.6078334,-0.1354784,5
-12.564051,1.7322149,2
0.9660088,10.394043,2
17.377619,-5.9104033,5
3.5581188,23.630894,5
13.251881,16.857746,3
8.847473,15.099409,4
-10.435037,2.2992125,4
7.3953342,17.582127,4
6.966135,6.511592,4
16.495558,10.169207,4
-0.86098117,2.9021904,1
7.2848954,-9.994782,3
6.3736043,17.663725,4
10.653922,-2.5517876,1
6.15819,4.6437206,4
17.63862,9.857596,4
11.31347,1.8691964,4
-0.91880333,3.5494199,1
18.397373,-5.303861,5
7.0563545,-9.950071,3
2.8707228,-1.9250202,5
6.551806,-0.9209672,5
-6.8239264,-8.206327,0
-6.262934,-11.807166,0
10.810709,-3.9232807,1
6.47328,24.370787,4
3.8668602,-2.4111505,5
-6.836195,-8.215185,0
6.7850018,7.440155,4
5.8854127,-2.1358037,5
-4.5749855,-0.54258394,6
16.948433,11.168195,4
6.932034,6.661635,4
-1.083197,20.573374,5
3.9572067,24.020256,5
21.502878,5.5190897,4
-9.056209,7.9311595,5
-0.5936358,20.479109,5
1.9386173,9.44415,2
16.401886,10.707031,4
6.2592497,-1.7326874,5
7.898199,6.309011,4
3.6246014,-0.1614097,5
7.438527,17.486435,4
-0.7628706,14.722115,4
3.044498,-1.6896334,5
3.855288,23.818243,5
10.711275,-8.908314,3
-3.4155507,-1.9772571,6
-8.895687,12.680413,4
17.024136,11.193616,4
5.5208974,-0.4735734,5
4.0217543,0.5319432,5
14.8255205,-1.0251505,4
18.598663,-5.7798567,5
23.17569,2.6315243,2
1.4569733,9.823552,2
-10.403595,2.7264104,4
17.787138,-5.369811,5
-1.1368843,20.590286,5
-5.9006505,-11.993726,0
-4.002623,-1.5985788,6
5.416348,-1.5721921,5
4.3069277,-2.0115511,5
-4.7853456,17.827951,6
-4.6474047,-0.51087457,6
4.248476,-1.4885976,5
4.427639,-0.0535337,5
11.349176,1.8358377,4
-4.958906,5.351865,5
3.9565508,-1.8780062,5
0.6314076,19.931343,5
6.2597938,24.01738,4
-7.652634,8.506504,5
-2.988139,-2.0267484,6
18.73795,-5.744688,5
2.6726487,16.56588,4
6.3516374,-2.043642,5
4.5180216,0.62667644,5
17.39955,-5.8637495,5
4.0469613,0.3795028,5
19.491272,-4.9590807,5
-8.988328,12.958847,4
19.208475,-5.465854,5
17.794847,6.230223,1
-4.467732,-1.8971803,6
23.02597,2.480931,2
3.871523,24.055338,5
-11.908464,14.603703,3
13.88063,16.56854,3
2.7042499,-10.597113,0
6.865557,-10.284121,3
-1.5229357,2.885284,1
7.1549525,5.769822,4
-12.368468,-2.4205635,0
10.6542635,-2.5928268,1
3.4009156,-2.6947834,5
6.253827,5.374857,4
-3.168009,-2.009373,6
-4.9747853,17.6308,6
3.104294,-1.0413241,5
14.118326,-0.87201345,4
9.089959,15.340783,4
13.211427,16.873346,3
7.5161166,5.486334,4
-0.9150838,3.5320601,1
4.2553086,24.827986,5
-12.638147,1.6630813,2
19.182034,-4.7151494,5
1.4038466,9.925951,2
2.4495742,-10.336657,0
11.039993,21.93081,2
16.971077,10.076724,4
5.970043,24.508444,4
-4.3700686,24.311731,2
13.966636,16.062172,3
6.387098,-1.4954231,5
13.607249,-0.17502993,4
-7.563061,18.40143,4
2.723842,-10.616958,0
19.221943,-5.4580092,5
5.258476,-0.3733662,5
1.6100396,9.460346,2
-8.193071,12.829115,4
7.119435,-10.232054,3
2.1689234,4.6970654,4
-6.5569916,-7.4814854,0
6.88845,24.244854,4
-4.3030977,-0.11992008,6
1.206369,9.137696,2
-5.5758114,-2.4645379,6
2.86391,-1.9158843,5
